genre,hex_colour,x,y,r,g,b
australian classical piano,#1ca3c2,502,615,28,163,194
piano blues,#66882d,911,3891,102,136,45
histoire pour enfants,#568608,1153,5673,86,134,8
dalarna indie,#a77e17,401,10634,167,126,23
cante alentejano,#399c5d,615,1881,57,156,93
rockabilly,#858012,777,5930,133,128,18
blues,#698620,1007,3979,105,134,32
dutch musical,#768c14,540,6189,118,140,20
brazilian ccm,#80940c,522,8409,128,148,12
lilith,#7b910c,584,8462,123,145,12
candombe,#a08027,961,9738,160,128,39
rwandan gospel,#8d8f03,664,11153,141,143,3
mestissatge,#bb8206,855,15836,187,130,6
punk rock italiano,#da5f0d,450,13891,218,95,13
taiwan indie,#968822,513,11951,150,136,34
cimbalom,#6a986b,708,3928,106,152,107
syro-aramaic chant,#35ac18,355,2298,53,172,24
cajun,#868b2d,815,6300,134,139,45
canadian rock,#c07315,395,14361,192,115,21
dangdut remix,#bb930d,925,16266,187,147,13
swancore,#dc5e2f,278,13968,220,94,47
channel pop,#769a09,758,9336,118,154,9
brazilian rockabilly,#c06e20,533,10596,192,110,32
dutch r&b,#8b940e,939,12500,139,148,14
pop lgbtq+ brasileira,#978f07,933,10592,151,143,7
adventista,#689e16,431,7596,104,158,22
goralski,#839205,777,8777,131,146,5
chamame brasilero,#9e8a16,901,10881,158,138,22
turkish singer-songwriter,#83930d,692,9439,131,147,13
turbo folk,#b97d03,729,13940,185,125,3
jazz puertorriqueno,#9b7b60,1030,5458,155,123,96
mexican power metal,#d06927,252,13423,208,105,39
reggae peruano,#a68d1d,1024,13583,166,141,29
polish folk metal,#bc5e67,213,11019,188,94,103
malaysian metal,#da574d,297,13066,218,87,77
judaica,#509116,700,5918,80,145,22
indian jazz,#84888d,765,5967,132,136,141
derry indie,#918a1a,474,8704,145,138,26
muzica usoara,#7e8f07,613,6917,126,143,7
kolkata indie,#948a0a,667,11017,148,138,10
wyoming indie,#a97c1f,461,11055,169,124,31
musica brasiliense,#7c9626,832,8524,124,150,38
mambo,#8b8045,1005,5471,139,128,69
classic turkish pop,#818a0d,557,5905,129,138,13
variete francaise,#a68801,719,12362,166,136,1
swedish rock-and-roll,#b17a44,655,9287,177,122,68
jam band,#987f3c,705,8249,152,127,60
classic pakistani pop,#858620,731,5881,133,134,32
west virginia indie,#b5742b,407,9746,181,116,43
frauenrap,#9a9313,1120,13945,154,147,19
schweizer rap,#a28a0b,1035,11005,162,138,11
reunion pop,#a98912,1056,12126,169,137,18
musica afroperuana,#8f8b1d,1096,7872,143,139,29
brazilian punk,#dd551b,379,11668,221,85,27
muzica crestina,#7b9510,486,7954,123,149,16
swedish blues,#ab7c0e,621,9887,171,124,14
worcester ma indie,#ae7816,457,11803,174,120,22
thai folk,#7f911b,607,8543,127,145,27
french metal,#d45959,217,13126,212,89,89
sinhala pop,#938f0c,832,9887,147,143,12
turkce slow sarkilar,#759905,680,9385,117,153,5
zen,#328ecf,131,3423,50,142,207
brazilian hip hop,#a38610,1067,10756,163,134,16
psychokore,#b87f10,988,14132,184,127,16
syrian pop,#92850e,633,7300,146,133,14
nordnorsk rap,#ac8421,992,14369,172,132,33
russian orchestra,#309ab4,256,1275,48,154,180
musica tropical guatemalteca,#b09126,1115,12949,176,145,38
swedish underground rap,#b17c15,1033,10555,177,124,21
japanese pop rap,#ad8d0a,982,14294,173,141,10
persian hip hop,#ab880a,957,12888,171,136,10
liberian pop,#ad8d15,1118,14916,173,141,21
trival,#be8740,1188,17277,190,135,64
lovers rock,#8f910e,1178,13620,143,145,14
deep funk house,#ba7ea2,1409,19262,186,126,162
background music,#26a3d3,166,2134,38,163,211
hindustani classical,#6e8d65,571,3549,110,141,101
mbalax,#9e8316,947,8475,158,131,22
musique ancienne,#2c9f41,373,1693,44,159,65
south african modern jazz,#689371,700,5493,104,147,113
samba,#7c8c1a,855,6188,124,140,26
alt z,#8b9406,781,12157,139,148,6
haitian gospel,#978a0b,599,9808,151,138,11
musica folk asturiana,#8e912f,355,8520,142,145,47
musica sinfonica,#539883,303,3271,83,152,131
sunshine pop,#7d8408,655,6571,125,132,8
stomp and holler,#838e1e,526,7757,131,142,30
blues latinoamericano,#ab7d19,639,9986,171,125,25
musica yucateca,#61960e,858,4940,97,150,14
ranchera,#699809,783,5730,105,152,9
boston indie,#9d802e,436,9422,157,128,46
modern bollywood,#9a820b,758,9275,154,130,11
russian gangster rap,#a18a11,1001,12188,161,138,17
manipuri pop,#839a0b,826,11389,131,154,11
dark folk,#569b82,361,6006,86,155,130
supergroup,#b26e28,393,10479,178,110,40
musica popular amazonense,#a6890f,866,10425,166,137,15
scottish indie rock,#bc771a,353,14607,188,119,26
jangle pop,#ab791e,457,10144,171,121,30
oulu indie,#b3761f,371,11741,179,118,31
military rap,#ae8303,1009,14008,174,131,3
jangle rock,#968b35,415,11179,150,139,53
christian trap,#a38b08,995,12012,163,139,8
contemporary gospel,#a37605,615,9237,163,118,5
magyar trap,#90980d,1060,14095,144,152,13
polish post-rock,#938cbb,256,11679,147,140,187
merengue,#b37e0a,1052,9290,179,126,10
rap paraguayo,#a19417,1126,14585,161,148,23
houston rap,#a08504,1091,13815,160,133,4
cumbia sonorense,#a28b0a,1073,9327,162,139,10
fado antigo,#41a212,734,2007,65,162,18
fado de coimbra,#40a311,697,1855,64,163,17
australian choir,#249e41,177,640,36,158,65
pretty rhythm,#e6692d,478,18073,230,105,45
progressive doom,#b17759,157,11411,177,119,89
italian death metal,#e33e7b,164,12710,227,62,123
boston metal,#d75056,175,11399,215,80,86
southern metal,#dc5c22,243,13017,220,92,34
finnish metalcore,#e95737,186,16847,233,87,55
chamber choir,#229c41,118,440,34,156,65
anime cv,#e06b17,461,17594,224,107,23
christian hardcore,#e1502f,265,11374,225,80,47
boston punk,#e55016,275,10870,229,80,22
deep symphonic black metal,#d1507c,83,10627,209,80,124
german pagan metal,#de5561,154,14720,222,85,97
christian hard rock,#cc6e1a,261,15710,204,110,26
german black metal,#c84c7b,79,10381,200,76,123
christian symphonic metal,#ba6b40,166,12109,186,107,64
west virginia metal,#d85d68,228,10982,216,93,104
metal galego,#e25050,197,13870,226,80,80
experimental percussion,#6c7b91,561,5968,108,123,145
indie catracho,#9b8d44,779,12809,155,141,68
footwork,#b08886,1138,17480,176,136,134
trip hop,#9c886f,862,15533,156,136,111
dub product,#978d97,1194,14928,151,141,151
cocuk sarkilari,#4b9d5d,670,5831,75,157,93
hauntology,#7582a5,411,7633,117,130,165
german post-rock,#918dc3,457,12135,145,141,195
chill groove,#9f92af,1014,17290,159,146,175
belarusian electronic,#be8cb6,1091,18632,190,140,182
classic tunisian pop,#6f5466,574,5472,111,84,102
8d,#5774ab,280,6153,87,116,171
alternative dance,#b4814f,760,17011,180,129,79
electroclash,#b8835b,921,17820,184,131,91
children's music,#689825,986,8738,104,152,37
leipzig indie,#968b4e,783,14030,150,139,78
salzburg indie,#a3893a,677,14218,163,137,58
canadian electronic,#bf846e,999,17783,191,132,110
techno,#b787c0,1142,18349,183,135,192
focus,#29afd6,838,3524,41,175,214
prepared piano,#529093,783,5530,82,144,147
spanish experimental,#6d82a2,363,6981,109,130,162
backing track,#8993bd,990,16746,137,147,189
experimental poetry,#447026,972,4384,68,112,38
new weird finland,#708565,515,5520,112,133,101
weirdcore,#809385,878,11617,128,147,133
vintage french electronic,#7d8874,584,7644,125,136,116
horror synth,#6c95b9,369,10035,108,149,185
champeta,#c98005,1080,16972,201,128,5
perreo,#c38805,1241,17024,195,136,5
swiss house,#b791c5,1389,19476,183,145,197
contemporary jazz,#519686,705,4131,81,150,134
nightcore,#bd8030,741,15794,189,128,48
classic venezuelan pop,#928914,927,7698,146,137,20
musica paraibana,#938d15,868,10318,147,141,21
norwegian blues,#9b821d,731,8636,155,130,29
spanish progressive rock,#b07d71,314,11043,176,125,113
alternative country,#808d19,569,7116,128,141,25
